onset	duration	TRIALTYPE	LIKING_RATING	RESPONSE_TIME	OLD_ON_LEFT	ITEM_ISOLD	CHOSE_RIGHT
2.016653	1.255	Hit	9.755556	1.097	1	1	0.0
9.516677	1.255	Hit	3.911111	1.1440000000000001	1	1	0.0
15.51668	1.255	Hit	2.511111	1.123	1	1	0.0
19.51664	1.255	Hit	6.533333	1.321	1	1	0.0
26.01666	1.255	CorrectRejection	n/a	1.301	1	0	1.0
31.516640000000002	1.255	Hit	1.266667	1.595	1	1	0.0
40.51664	1.255	CorrectRejection	n/a	1.034	1	0	1.0
46.01663	1.255	Hit	6.444444	0.863	1	1	0.0
52.51665	1.255	CorrectRejection	n/a	0.8909999999999999	1	0	1.0
57.01665	1.255	CorrectRejection	n/a	0.75	1	0	1.0
62.01664	1.255	Hit	4.977778	1.28	1	1	0.0
66.01665	1.255	Hit	7.444444	1.67	1	1	0.0
71.51663	1.255	Hit	1.288889	1.068	1	1	0.0
76.01665	1.255	Hit	8.666667	1.569	1	1	0.0
81.51666	1.255	CorrectRejection	n/a	1.214	1	0	1.0
91.51665	1.255	Hit	7.266667	1.0190000000000001	1	1	0.0
101.5167	1.255	Hit	3.1555560000000002	1.169	1	1	0.0
109.0166	1.255	Hit	7.466667	0.7490000000000001	1	1	0.0
113.0168	1.255	Hit	4.977778	0.816	1	1	0.0
118.5166	1.255	Hit	4.044444	1.37	1	1	0.0
123.5167	1.255	Miss	3.6222220000000003	1.131	1	1	1.0
129.5166	1.255	CorrectRejection	n/a	1.224	1	0	1.0
142.5167	1.255	Hit	4.7555559999999995	2.207	1	1	0.0
147.0166	1.255	CorrectRejection	n/a	1.109	1	0	1.0
157.0167	1.255	CorrectRejection	n/a	1.757	1	0	1.0
162.0167	1.255	CorrectRejection	n/a	1.8030000000000002	1	0	1.0
168.5167	1.255	Hit	6.6	1.113	1	1	0.0
172.5166	1.255	CorrectRejection	n/a	1.348	1	0	1.0
179.5167	1.255	Hit	5.644444	1.504	1	1	0.0
185.5166	1.255	CorrectRejection	n/a	1.004	1	0	1.0
189.5166	1.255	CorrectRejection	n/a	1.5719999999999998	1	0	1.0
194.0166	1.255	Hit	3.311111	1.235	1	1	0.0
198.0166	1.255	CorrectRejection	n/a	1.1420000000000001	1	0	1.0
204.5167	1.255	Hit	4.844444	1.58	1	1	0.0
210.5167	1.255	Hit	5.888889	1.3330000000000002	1	1	0.0
217.0166	1.255	Hit	8.577778	1.095	1	1	0.0
222.5167	1.255	Miss	7.488889	1.86	1	1	1.0
226.5166	1.255	Hit	6.111111	0.8390000000000001	1	1	0.0
230.5167	1.255	Hit	2.955556	1.298	1	1	0.0
234.5167	1.255	Hit	8.822222	0.972	1	1	0.0
238.5166	1.255	FalseAlarm	n/a	2.401	1	0	0.0
247.0167	1.255	Hit	3.5555559999999997	1.84	1	1	0.0
251.5167	1.255	CorrectRejection	n/a	0.828	1	0	1.0
260.0167	1.255	CorrectRejection	n/a	1.3840000000000001	1	0	1.0
268.0167	1.255	CorrectRejection	n/a	1.123	1	0	1.0
273.0167	1.255	CorrectRejection	n/a	0.975	1	0	1.0
279.5166	1.255	Hit	9.333333	1.413	1	1	0.0
284.0167	1.255	Hit	6.177778	0.7509999999999999	1	1	0.0
290.5167	1.255	CorrectRejection	n/a	1.035	1	0	1.0
296.0166	1.255	CorrectRejection	n/a	1.868	1	0	1.0
